,Max Iterations,RHC Solution,SM Solution,GA Solution,MIMIC Solution
0,100,8.0,4.0,66.0,68.0
1,150,10.0,6.0,65.0,66.0
2,200,10.0,8.0,66.0,78.0
3,250,10.0,9.0,66.0,67.0
4,300,10.0,11.0,70.0,73.0
5,350,10.0,11.0,66.0,70.0
6,400,10.0,19.0,64.0,67.0
7,450,10.0,21.0,69.0,67.0
8,500,10.0,21.0,67.0,69.0
9,550,10.0,21.0,67.0,70.0
10,600,10.0,74.0,72.0,79.0
11,650,10.0,75.0,65.0,72.0
12,700,10.0,75.0,68.0,63.0
13,750,10.0,75.0,65.0,73.0
14,800,10.0,80.0,63.0,72.0
15,850,10.0,83.0,66.0,71.0
16,900,10.0,83.0,69.0,68.0
17,950,10.0,83.0,66.0,68.0
